zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,brokerName,hdpData.homeInfo.homeStatusForHDP,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_accepting_backup_offers,hdpData.homeInfo.contingentListingType,lotAreaString,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.providerListingID,hdpData.homeInfo.newConstructionType,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.videoCount,info6String,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,plid,communityName,builderName,isCdpResult,isComingSoonCommunity,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_bankOwned,badgeInfo.type,badgeInfo.text,hdpData.homeInfo.listing_sub_type.is_forAuction,isR4R,hdpData.homeInfo.rentalMarketingSubType
61224848,Pending,Non Owner Occupied,https://photos.zillowstatic.com/fp/b07bc4b85bf4fb05658b2dd8548465df-p_e.jpg,True,/homedetails/1809-Lowe-Dr-Woodland-CA-95776/61224848_zpid/,SOLD,Sold,"$670,000",$670K,"1809 Lowe Dr, Woodland, CA 95776",5.0,3.0,2884.0,False,False,Pending,Unknown Listed By,False,False,False,False,False,False,False,,False,False,182062000.0,38.67067,-121.73741,RECENTLY_SOLD,Sold 03/19/2024,61224848.0,1809 Lowe Dr,95776,Woodland,CA,38.67067,-121.73741,659888.0,1710831600000.0,3.0,5.0,2884.0,SINGLE_FAMILY,PENDING,-1.0,False,False,660800.0,3099.0,True,False,False,659888.0,182062000.0,True,False,False,USD,USA,526279.0,5663.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94705074,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/006f54c6c2e0c4ff24ad846c58323495-p_e.jpg,True,/homedetails/1627-Flores-Way-Woodland-CA-95776/94705074_zpid/,SOLD,Sold,"$605,000",$605K,"1627 Flores Way, Woodland, CA 95776",3.0,3.0,2009.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,,38.65378,-121.739235,RECENTLY_SOLD,Sold 03/15/2024,94705074.0,1627 Flores Way,95776,Woodland,CA,38.65378,-121.739235,605000.0,1710486000000.0,3.0,3.0,2009.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,605100.0,2974.0,,False,False,605000.0,,True,False,False,USD,USA,417094.0,6970.0,sqft,False,Berkshire Hathaway HomeService,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16517223,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/f6014a466e7eaaed2945cded67938713-p_e.jpg,True,/homedetails/985-Bourn-Dr-Woodland-CA-95776/16517223_zpid/,SOLD,Sold,"$548,000",$548K,"985 Bourn Dr, Woodland, CA 95776",3.0,2.0,1497.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,False,False,,False,False,700462000.0,38.66485,-121.746864,RECENTLY_SOLD,Sold 03/13/2024,16517223.0,985 Bourn Dr,95776,Woodland,CA,38.66485,-121.746864,548000.0,1710313200000.0,2.0,3.0,1497.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,548300.0,2650.0,,False,False,548000.0,700462000.0,True,False,False,USD,USA,283851.0,5663.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16538152,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/20e1f26385f3dc3bd5f514579fcd2328-p_e.jpg,True,/homedetails/1391-Parkview-Dr-Woodland-CA-95776/16538152_zpid/,SOLD,Sold,"$525,000",$525K,"1391 Parkview Dr, Woodland, CA 95776",3.0,3.0,1484.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,False,False,,False,False,1132462000.0,38.672813,-121.75735,RECENTLY_SOLD,Sold 03/08/2024,16538152.0,1391 Parkview Dr,95776,Woodland,CA,38.672813,-121.75735,525000.0,1709884800000.0,3.0,3.0,1484.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,525500.0,2650.0,,False,False,525000.0,1132462000.0,True,False,False,USD,USA,200006.0,7344.216,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331205085,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/3defea5cf5ae8834ba6fc9dc9633c426-p_e.jpg,True,/homedetails/1805-Sander-St-Woodland-CA-95776/331205085_zpid/,SOLD,Sold,"$640,000",$640K,"1805 Sander St, Woodland, CA 95776",4.0,3.0,2587.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,False,False,,False,False,1391662000.0,38.64971,-121.74006,RECENTLY_SOLD,Sold 03/05/2024,331205085.0,1805 Sander St,95776,Woodland,CA,38.64971,-121.74006,640000.0,1709625600000.0,3.0,4.0,2587.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,640200.0,3350.0,,False,False,640000.0,1391662000.0,True,False,False,USD,USA,626320.0,6604.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331204862,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/1ac8029388dbfbb16ce953133ce9fc61-p_e.jpg,True,/homedetails/1721-Brubaker-St-Woodland-CA-95776/331204862_zpid/,SOLD,Sold,"$634,000",$634K,"1721 Brubaker St, Woodland, CA 95776",4.0,4.0,2216.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,False,False,,False,False,1737262000.0,38.65101,-121.740906,RECENTLY_SOLD,Sold 03/01/2024,331204862.0,1721 Brubaker St,95776,Woodland,CA,38.65101,-121.740906,634000.0,1709280000000.0,4.0,4.0,2216.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,634700.0,3422.0,,False,False,634000.0,1737262000.0,True,False,False,USD,USA,469330.0,4752.396,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339006946,RecentlySold,Non Owner Occupied,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.65898513793945,-121.7574691772461&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=gboHBs5vx40HK2kWAvoEUv65vxg=",,/homedetails/1650-Pena-Ln-Woodland-CA-95776/339006946_zpid/,SOLD,Sold,"$452,500",$453K,"1650 Pena Ln, Woodland, CA 95776",4.0,3.0,2013.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,False,False,False,,False,False,1823662000.0,38.658985,-121.75747,OPEN_HOUSE,Open: Mon-Sun: 10AM-5PM,339006946.0,1650 Pena Ln,95776,Woodland,CA,38.658985,-121.75747,452500.0,1709193600000.0,3.0,4.0,2013.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,501200.0,3063.0,,False,False,452500.0,1823662000.0,True,True,False,USD,USA,26077.0,,,False,,RECENTLY_SOLD,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=38.65898513793945,-121.7574691772461&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=pMQZsHC4NM5Im4KT0PkX1_JW3Os=","https://maps.googleapis.com/maps/api/streetview/metadata?location=38.65898513793945,-121.7574691772461&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=GpYsOFGq5FM41d_niNKhPxBOco4=",1704873600000.0,"$5,000 (Jan 10)",-5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339006962,RecentlySold,Non Owner Occupied,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.65866470336914,-121.75702667236328&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=0xLJfg9Rrnfpj-SkxddoqCPtLcg=",,/homedetails/1662-Richie-Ln-Woodland-CA-95776/339006962_zpid/,SOLD,Sold,"$445,000",$445K,"1662 Richie Ln, Woodland, CA 95776",4.0,3.0,2171.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,False,False,False,,False,False,1823662000.0,38.658665,-121.75703,OPEN_HOUSE,Open: Mon-Sun: 10AM-5PM,339006962.0,1662 Richie Ln,95776,Woodland,CA,38.658665,-121.75703,445000.0,1709193600000.0,3.0,4.0,2171.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,529600.0,2995.0,,False,False,445000.0,1823662000.0,True,True,False,USD,USA,23239.0,,,False,,RECENTLY_SOLD,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=38.65866470336914,-121.75702667236328&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=S2JXAHAAecWb6U3uJo0GxiM_E_E=","https://maps.googleapis.com/maps/api/streetview/metadata?location=38.65866470336914,-121.75702667236328&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=_Hfv7zvelssp8uGXajH9LUH1usg=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339006978,RecentlySold,Non Owner Occupied,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.658573150634766,-121.75675964355469&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=P1CMf17yW7UEstgPj0KbvNGsCWk=",,/homedetails/1668-Matmor-Rd-Woodland-CA-95776/339006978_zpid/,SOLD,Sold,"$510,000",$510K,"1668 Matmor Rd, Woodland, CA 95776",4.0,3.0,2185.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,False,False,False,,False,False,1823662000.0,38.658573,-121.75676,OPEN_HOUSE,Open: Mon-Sun: 10AM-5PM,339006978.0,1668 Matmor Rd,95776,Woodland,CA,38.658573,-121.75676,510000.0,1709193600000.0,3.0,4.0,2185.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,545200.0,2995.0,,False,False,510000.0,1823662000.0,True,True,False,USD,USA,465762.0,,,False,,RECENTLY_SOLD,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=38.658573150634766,-121.75675964355469&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=Y_IGwXhTr61bIDgzPVAlxoESUAQ=","https://maps.googleapis.com/maps/api/streetview/metadata?location=38.658573150634766,-121.75675964355469&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=KfHuslaBoDWXjo4_nHEKj8MmDxg=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339006979,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/0de7cfa6860a14a38e4ba89803b7664d-p_e.jpg,True,/homedetails/1664-Matmor-Rd-Woodland-CA-95776/339006979_zpid/,SOLD,Sold,"$470,000",$470K,"1664 Matmor Rd, Woodland, CA 95776",3.0,2.5,2031.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,True,False,,False,False,1823662000.0,38.658684,-121.75676,,,339006979.0,1664 Matmor Rd,95776,Woodland,CA,38.658684,-121.75676,470000.0,1709193600000.0,2.5,3.0,2031.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,True,False,528500.0,2895.0,,False,False,2850.0,1823662000.0,True,False,False,USD,USA,457167.0,,,False,,FOR_RENT,,,,,,2024-03-04 00:00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
